Roll Number,Registration Date,Face Encoding,Face Path
208,2026-07-24 08:46:08,,
vinay208,2026-08-06 07:28:11,"[-0.123639777302742, 0.10002832859754562, 0.04623866453766823, 0.008663685992360115, 0.036467939615249634, -0.03370491415262222, 0.006770499050617218, -0.053652066737413406, 0.1390596181154251, -0.040423087775707245, 0.23723536729812622, -0.018374279141426086, -0.182032972574234, -0.16185520589351654, 0.014429204165935516, 0.07875978946685791, -0.07140611112117767, -0.20743602514266968, -0.07033862918615341, -0.13607484102249146, -0.059217825531959534, 0.0009125657379627228, 0.010570704936981201, 0.063613161444664, -0.16290821135044098, -0.34823691844940186, -0.0877293050289154, -0.1648593544960022, 0.08651614189147949, -0.10440781712532043, -0.023998454213142395, 0.052579376846551895, -0.20569702982902527, -0.08141399174928665, -0.025812245905399323, 0.10286946594715118, 0.06139927729964256, -0.006315499544143677, 0.2335197627544403, 0.04338974878191948, -0.08778391778469086, -0.04022529721260071, 0.02061900496482849, 0.35590964555740356, 0.1502246856689453, -0.03609991818666458, 0.01770075224339962, 0.03571328520774841, 0.02966924011707306, -0.1771278828382492, 0.11095266044139862, 0.09775234758853912, 0.13379916548728943, 0.07267431169748306, 0.047644443809986115, -0.10925103724002838, -0.038987815380096436, 0.06472928822040558, -0.1894230991601944, 0.07107411324977875, -0.046888455748558044, -0.05999602749943733, -0.11002297699451447, -0.015959054231643677, 0.27814412117004395, 0.10618793219327927, -0.049171991646289825, -0.13790005445480347, 0.25405022501945496, -0.13359865546226501, 0.0052769482135772705, 0.08444501459598541, -0.05776597559452057, -0.08144493401050568, -0.21793347597122192, 0.17839203774929047, 0.3640729784965515, 0.10453693568706512, -0.22984713315963745, 0.10107770562171936, -0.14404858648777008, -0.09512260556221008, 0.01412874460220337, -0.010799795389175415, -0.07951422780752182, 0.077069953083992, -0.11660081893205643, 0.026236817240715027, 0.18423637747764587, 0.06286931782960892, -0.0476742647588253, 0.15126967430114746, -0.017902135848999023, 0.010318741202354431, 0.15631474554538727, 0.014830827713012695, -0.08304391801357269, -0.026357315480709076, -0.17132672667503357, -0.0647614449262619, 0.10860773921012878, -0.10419674217700958, -0.0238935649394989, 0.0723949521780014, -0.1595442295074463, 0.11567278206348419, 0.058458372950553894, -0.07054658234119415, 0.030676163733005524, 0.1069582998752594, -0.0987166315317154, -0.12592293322086334, 0.19222944974899292, -0.26141026616096497, 0.16255851089954376, 0.10778945684432983, 0.020804107189178467, 0.16568157076835632, 0.07358197867870331, 0.09816046804189682, -0.0015049874782562256, -0.022638633847236633, -0.1050390899181366, -0.06772914528846741, 0.05663805082440376, -0.013923369348049164, 0.035747021436691284, 0.0852499008178711]",/Users/bmvinaykumar/Downloads/flask_app/registered_faces/vinay208.jpg
m388,2026-08-06 11:23:54,"[-0.1636079102754593, 0.07953743636608124, 0.1688305139541626, -0.027789399027824402, -0.05465660244226456, -0.09250324964523315, -0.018476665019989014, -0.048529691994190216, 0.049642860889434814, -0.06570500135421753, 0.23428043723106384, -0.04275257885456085, -0.20783847570419312, -0.09862539172172546, 0.04196912795305252, 0.06623925268650055, -0.06295338273048401, -0.1201600581407547, 0.0068054720759391785, -0.08837421238422394, 0.10725579410791397, 0.01988469809293747, 0.023483507335186005, 0.023555785417556763, -0.13573747873306274, -0.3326777219772339, -0.12309232354164124, -0.16271764039993286, -0.038184188306331635, -0.15332552790641785, 0.010808050632476807, 0.012258857488632202, -0.1759730875492096, -0.022421494126319885, -0.08469807356595993, 0.11803826689720154, 0.0063728466629981995, -0.07773233950138092, 0.09107612818479538, -0.04194241017103195, -0.10938514024019241, -0.11431962251663208, -0.026525676250457764, 0.26827380061149597, 0.06662988662719727, 0.009752597659826279, 2.668239176273346e-05, 0.09910638630390167, 0.008991613984107971, -0.24407958984375, 0.052744291722774506, 0.10226359963417053, 0.06010538339614868, 0.02138877660036087, 0.10408918559551239, -0.03268003836274147, 0.05636191368103027, 0.038213230669498444, -0.23001787066459656, 0.00557023286819458, 0.028517387807369232, -0.05394333228468895, -0.05375836044549942, -0.0691615417599678, 0.2416585236787796, 0.16409602761268616, -0.09008996188640594, -0.018506556749343872, 0.10264734923839569, -0.13247865438461304, -0.044935937970876694, 0.0001722276210784912, -0.11746950447559357, -0.14725174009799957, -0.18289241194725037, 0.09221300482749939, 0.3250880837440491, 0.11654464900493622, -0.18751978874206543, 0.04272313416004181, -0.10935202240943909, -0.0028273314237594604, 0.07633518427610397, -0.018396273255348206, -0.021771319210529327, 0.13105227053165436, -0.1537758708000183, 0.09147727489471436, 0.10779677331447601, -0.07308202981948853, 0.017696261405944824, 0.1986234188079834, -0.0464291051030159, 0.019656330347061157, 0.07739005982875824, -0.006858550012111664, -0.034819841384887695, 0.01138273999094963, -0.08256396651268005, 0.054503634572029114, 0.10362519323825836, -0.10113609582185745, -0.0690421387553215, 0.058346547186374664, -0.12418967485427856, 0.05960513651371002, 0.03323113173246384, -0.04762616753578186, -0.0317574217915535, -0.007371783256530762, -0.16594204306602478, -0.10861356556415558, 0.10641121119260788, -0.21991510689258575, 0.12294704467058182, 0.1658145785331726, -0.11343839764595032, 0.142788365483284, 0.023958563804626465, 0.07058213651180267, -0.0197308212518692, -0.09100259840488434, -0.13323751091957092, -0.06599782407283783, 0.10840891301631927, 0.026744797825813293, -0.04493741691112518, 0.005509920418262482]",/Users/bmvinaykumar/Downloads/flask_app/registered_faces/m388.jpg
285R,2026-08-06 11:24:27,"[-0.1330532729625702, 0.12301930785179138, 0.07908927649259567, -0.04344731569290161, -0.0878535807132721, -0.0003970414400100708, -0.08146198093891144, -0.07487902790307999, 0.2188732922077179, -0.14189068973064423, 0.19493457674980164, 0.0063161179423332214, -0.1315588802099228, -0.10670694708824158, 0.03812176734209061, 0.13724273443222046, -0.14395064115524292, -0.21765562891960144, -0.08669782429933548, -0.12924587726593018, 0.04962926730513573, 0.031757622957229614, 0.05507981404662132, 0.04464203864336014, -0.2247394621372223, -0.43252378702163696, -0.06825791299343109, -0.1555631011724472, 0.047006115317344666, -0.10350622236728668, -0.04887872934341431, 0.025650441646575928, -0.2752043604850769, -0.026898354291915894, 0.025688067078590393, 0.052054233849048615, 0.05933966487646103, -0.04239645227789879, 0.20114049315452576, 0.018165089190006256, -0.19133910536766052, -0.108872190117836, 0.04099853336811066, 0.18736696243286133, 0.18497873842716217, 0.025104664266109467, 0.008205674588680267, -0.02116301655769348, 0.14070597290992737, -0.15186390280723572, 0.08849222958087921, 0.17596390843391418, 0.052216045558452606, 0.08128724992275238, 0.05349811911582947, -0.13324573636054993, -0.003110170364379883, 0.07903773337602615, -0.18313398957252502, -0.0338415764272213, -0.02200644463300705, -0.06776118278503418, -0.1246098205447197, -0.01715797930955887, 0.29199859499931335, 0.12322504818439484, -0.08194176852703094, -0.145404651761055, 0.24050645530223846, -0.09509605169296265, 0.022408947348594666, 0.032822102308273315, -0.1674615442752838, -0.131626695394516, -0.24636472761631012, 0.032435446977615356, 0.3984670042991638, 0.10137507319450378, -0.22668316960334778, 0.044587135314941406, -0.14100506901741028, -0.03282015025615692, -0.008975371718406677, 0.0980512946844101, -0.06210685893893242, 0.09197767823934555, -0.033620476722717285, 0.08437079191207886, 0.1837826818227768, 0.02490193396806717, -0.019638802856206894, 0.2259398251771927, -0.00970509648323059, 0.0458606481552124, 0.060575902462005615, 0.00983479619026184, -0.12250484526157379, -0.0800921618938446, -0.14897410571575165, -0.06893597543239594, 0.015687279403209686, 0.05088968947529793, -0.05781875550746918, 0.14789462089538574, -0.18608355522155762, 0.12392479181289673, 0.02426859736442566, -0.05244597792625427, -0.06585429608821869, 0.0432010293006897, -0.054284729063510895, -0.1664041131734848, 0.07702725380659103, -0.1955202966928482, 0.14075618982315063, 0.14851385354995728, 0.017274225130677223, 0.21865445375442505, 0.02695099264383316, 0.0708136186003685, 0.022167786955833435, -0.03503678739070892, -0.16175399720668793, -0.05260723829269409, 0.08931154012680054, -0.029531359672546387, 0.007911041378974915, 0.02374478057026863]",/Users/bmvinaykumar/Downloads/flask_app/registered_faces/285R.jpg
U16VH25S0001,2026-08-06 11:29:09,"[-0.22928345203399658, 0.13223108649253845, 0.0489276722073555, 0.03431325778365135, 0.07436016947031021, -0.10386589914560318, 0.03537929803133011, -0.07084403187036514, 0.11346998810768127, 0.004813060164451599, 0.26279768347740173, -0.05331848934292793, -0.18550924956798553, -0.15411992371082306, 0.06661279499530792, 0.09702098369598389, -0.16795364022254944, -0.10531986504793167, -0.05580625683069229, -0.06602683663368225, 0.09281827509403229, -0.016224637627601624, -0.02474810928106308, 0.09437843412160873, -0.1512528955936432, -0.28759944438934326, -0.05018125846982002, -0.14721322059631348, 0.03486833721399307, -0.08928503096103668, -0.0069155097007751465, -0.0024340152740478516, -0.16900964081287384, 0.021605059504508972, -0.05301348865032196, 0.07099581509828568, 0.03199730068445206, 0.0036375150084495544, 0.17858079075813293, 0.022695057094097137, -0.12230429798364639, -0.10731831192970276, -0.03576839715242386, 0.2705664336681366, 0.14654560387134552, -0.024039193987846375, 0.02341034822165966, 0.03351283073425293, 0.05939020961523056, -0.21662497520446777, -0.03952405974268913, 0.15400442481040955, 0.08044502139091492, 0.0741673931479454, 0.05659838020801544, -0.1453247368335724, -0.038630902767181396, -9.877234697341919e-05, -0.20145371556282043, 0.016970042139291763, -0.02115904539823532, -0.07022188603878021, -0.08799927681684494, -0.046938613057136536, 0.2242434322834015, 0.09049040824174881, -0.14336024224758148, -0.11070064455270767, 0.13679519295692444, -0.13673292100429535, -0.006810009479522705, 0.10989049822092056, -0.06528009474277496, -0.21419544517993927, -0.22905078530311584, 0.13522681593894958, 0.35732322931289673, 0.09339205175638199, -0.18269634246826172, 0.07439973950386047, -0.1382499784231186, -0.0954509973526001, 0.03354206681251526, 0.036928124725818634, -0.05518520623445511, 0.14166706800460815, -0.13018429279327393, 0.048509806394577026, 0.1210552379488945, -0.007031992077827454, 0.02778659015893936, 0.1996474415063858, -0.04796861112117767, 0.03577406704425812, 0.018290389329195023, 0.008839108049869537, -0.02668384462594986, 0.03232906758785248, -0.0219041109085083, 0.016252100467681885, 0.08823708444833755, -0.12109754979610443, 0.01525069773197174, 0.0055046603083610535, -0.13978029787540436, 0.12395942211151123, 0.0657658651471138, -0.00011785328388214111, -0.06970535218715668, 0.0382029265165329, -0.13172052800655365, -0.026091426610946655, 0.10577499866485596, -0.29995039105415344, 0.18665114045143127, 0.1499880850315094, -0.014286002144217491, 0.14585590362548828, 0.007062964141368866, 0.07883182168006897, -0.023149356245994568, -0.002397701144218445, -0.0802764892578125, -0.03454143553972244, 0.04644966498017311, -0.00041194260120391846, -0.00854557752609253, 0.004425719380378723]",/Users/bmvinaykumar/Downloads/flask_app/registered_faces/U16VH25S0001.jpg
